,pole_id,vgp_id,Name,slat,slon,n,dec,inc,k,α95,VGP_lat,VGP_lon,K,dp,dm,A95,age,2_sigma,min_age,max_age,error_dist,lithology,Q,kept_by_auth,ref,age ref,comments (Q breakdown),paleolatitude,vgp_lat,vgp_lon,vgp_lat_rev,vgp_lon_rev,vgp_lat_SH,vgp_lon_SH,comments on age,dip_dir,dip,comments (x = excluded)
19,VGPs_NAM\1,20,5L401,,,8.0,14.0,45.8,208.0,3.9,74.2,8.8,,,,,0.481,0.02,,,normal,volcanic,,y,Mankinen et al. 1986,Mankinen et al. 1986,,27.21047312363781,74.2,8.8,,,-74.2,188.8,,,,
20,VGPs_NAM\1,21,5L409,,,7.0,2.5,51.7,133.0,5.3,84.3,39.4,,,,,0.523,0.022,,,normal,volcanic,,y,Mankinen et al. 1986,Mankinen et al. 1986,,32.33830202693917,84.3,39.4,,,-84.3,219.4,,,,
21,VGPs_NAM\1,22,5L476,,,8.0,17.5,50.1,379.0,2.9,74.0,351.3,,,,,0.527,0.024,,,normal,volcanic,,y,Mankinen et al. 1986,Mankinen et al. 1986,,30.879140518733248,74.0,351.3,,,-74.0,171.3,,,,
22,VGPs_NAM\1,23,5L368,,,8.0,336.0,53.6,108.0,5.4,70.3,147.9,,,,,0.652,0.028,,,normal,volcanic,,y,Mankinen et al. 1986,Mankinen et al. 1986,,34.14447292145476,70.3,147.9,,,-70.3,327.9,,,,
23,VGPs_NAM\1,24,5L428,,,5.0,23.6,73.4,206.0,5.3,63.7,268.6,,,,,0.68,0.058,,,normal,volcanic,,y,Mankinen et al. 1986,Mankinen et al. 1986,,59.195508447058366,63.7,268.6,,,-63.7,88.60000000000002,,,,
24,VGPs_NAM\1,25,5L249,,,6.0,10.4,67.2,321.0,3.8,75.6,268.9,,,,,0.694,0.034,,,normal,volcanic,,y,Mankinen et al. 1986,Mankinen et al. 1986,,49.94547571428917,75.6,268.9,,,-75.6,88.89999999999998,,,,
25,VGPs_NAM\1,26,S47,35.88,253.37,8.0,359.0,41.3,26.0,11.2,77.8,77.6,,,,,,,,,,volcanic,,n,Doell et al. 1968,Doell et al. 1968,site rejected because alpha95 > 10,23.713998163978925,77.80331879188647,77.70758163416639,-77.80331879188647,257.7075816341664,-77.80331879188647,257.7075816341664,,,,
26,VGPs_NAM\1,27,S46,35.86,253.36,9.0,358.3,43.2,317.0,2.9,79.2,81.6,,,,,,,,,,volcanic,,y,Doell et al. 1968,Doell et al. 1968,,25.151522660394388,79.1924114062244,81.59363435867476,-79.1924114062244,261.59363435867476,-79.1924114062244,261.59363435867476,,,,
27,VGPs_NAM\1,28,S45,35.94,253.4,7.0,7.6,55.2,48.0,8.8,83.8,343.6,,,,,0.434,0.03,,,normal,volcanic,,y,Doell et al. 1968,Doell et al. 1968,,35.73145615402066,83.83671782911175,343.1088160009457,-83.83671782911175,163.1088160009457,-83.83671782911175,163.1088160009457,,,,
28,VGPs_NAM\1,29,S44,35.82,253.46,10.0,357.0,56.5,24.0,10.1,87.3,191.4,,,,,0.494,0.03,,,normal,volcanic,,n,Doell et al. 1968,Doell et al. 1968,site rejected because alpha95 > 10,37.0680410691095,87.28327236637725,191.6911124017761,-87.28327236637725,11.69111240177611,-87.28327236637725,11.69111240177611,,,,
29,VGPs_NAM\1,30,S43,35.86,253.5,7.0,354.0,51.9,306.0,3.5,84.0,131.5,,,,,0.502,0.03,,,normal,volcanic,,y,Doell et al. 1968,Doell et al. 1968,,32.524583901287436,84.02237180274537,131.3120170298739,-84.02237180274537,311.3120170298739,-84.02237180274537,311.3120170298739,,,,
30,VGPs_NAM\1,31,S42,25.9,253.36,7.0,8.8,59.8,81.0,6.7,81.6,305.9,,,,,0.535,0.03,,,normal,volcanic,,y,Doell et al. 1968,Doell et al. 1968,,40.6654142305154,73.5253229193183,277.5142250995368,-73.5253229193183,97.51422509953682,-73.5253229193183,97.51422509953682,,,,
31,VGPs_NAM\1,32,1C614,38.33,240.19,8.0,343.6,68.1,71.0,6.6,72.7,203.5,,,,,0.158,0.025,,,,volcanic,,y,Mankinen et al. 2008,Mankinen et al. 2009,,51.20089775698439,72.72221476378972,203.63054799015597,-72.72221476378972,23.630547990155975,-72.72221476378972,23.630547990155975,,,,
32,VGPs_NAM\1,33,1C651,37.8,240.93,11.0,346.3,70.2,225.0,3.1,71.0,215.7,,,,,,,,,,volcanic,,y,Mankinen et al. 2008,Mankinen et al. 2009,,54.2444409170285,71.07759725209397,215.66819559026362,-71.07759725209397,35.66819559026362,-71.07759725209397,35.66819559026362,,,,
33,VGPs_NAM\1,34,1C671,37.68,241.5,9.0,305.3,47.8,50.0,7.4,44.1,157.4,,,,,,,,,,volcanic,,y,Mankinen et al. 2008,Mankinen et al. 2009,,28.873360153806193,44.07853533969643,157.32087967645538,-44.07853533969643,337.3208796764554,-44.07853533969643,337.3208796764554,,,,
34,VGPs_NAM\1,35,1C684,36.91,241.69,8.0,0.4,70.2,248.0,3.5,72.6,242.5,,,,,0.053,0.044,,,normal,volcanic,,y,Mankinen et al. 2008,Mankinen et al. 2009,,54.2444409170285,72.6633697273808,242.47439048955195,-72.6633697273808,62.47439048955195,-72.6633697273808,62.47439048955195,,,,
35,VGPs_NAM\1,36,1C701,36.84,241.69,6.0,344.9,60.6,324.0,3.7,77.4,178.5,,,,,,,,,,volcanic,,y,Mankinen et al. 2008,Mankinen et al. 2009,,41.58447298965046,77.39686733477066,178.4361092982818,-77.39686733477066,358.4361092982818,-77.39686733477066,358.4361092982818,,,,
36,VGPs_NAM\1,37,2C551,37.62,240.92,7.0,333.4,57.4,236.0,3.9,69.1,160.1,,,,,,,,,,volcanic,,y,Mankinen et al. 2008,Mankinen et al. 2009,Different plagioclase separates from the same sample have yielded ages of 0.97 +/- 0.16 and 0.65 +/- 0.35 Ma,38.019299198233426,69.05562379142297,160.2366160098375,-69.05562379142297,340.23661600983746,-69.05562379142297,340.23661600983746,,,,
37,VGPs_NAM\1,38,2C801,39.01,237.24,3.0,9.3,55.9,238.0,8.0,82.2,333.7,,,,,0.35,0.02,,,normal,volcanic,,n,Mankinen et al. 2008,Mankinen et al. 2009,site rejected because n < 5,36.445753344723926,82.21472023221901,343.56848823894774,-82.21472023221901,163.56848823894774,-82.21472023221901,163.56848823894774,,,,
